name,blurb,slug,category,name_len,name_len_clean,launched_at_weekday,deadline_hr,created_at_month,launched_at_hr,create_to_launch_days,launch_to_deadline_days,SuccessfulBool,usd_goal,category_success_rate,category_popularity,category_median_goal,goal_vs_cat_median,location_popularity,location_success_rate
Hackintosh Build Project Book - # ffffff,"a book that talks about and demonstrates a hackintosh build, the pros/cons and legal status and an analysis compared to the mac pro",hackintosh-build-project-book-ffffff,Academic,7.0,7.0,Tuesday,15,9,15,28,30,0,9.112392091592517,0.0,3.044522437723423,9.210440366976517,-0.09353430877292905,5.655991810819852,0.6062717770034843
What's Next - Exploring Your Future,"This magazine is purposed to allow high school students the opportunity to explore their future and determine ""What's Next"".",whats-next-exploring-your-future,Academic,6.0,6.0,Sunday,7,3,7,39,60,0,9.210440366976517,0.0,3.044522437723423,9.210440366976517,0.0,4.0943445622221,0.16393442622950818
ProVi Professionelle Lernvideos,"E-Learning Plattform Fachbereich Mathematik. Bildung für jeden soll keine Idee sein. Mathe, das Haterfach Nr.1, das muss nicht sein.",provi-professionelle-lernvideos,Academic,3.0,3.0,Monday,8,1,8,0,5,0,7.489494071763018,0.0,3.044522437723423,9.210440366976517,-1.0009797224558326,3.1354942159291497,0.125
I Want To Learn English,IWTLE is a textbook designed to teach English to adult learners new to the language starting with the fundamentals rooted in phonics.,i-want-to-learn-english,Academic,5.0,5.0,Friday,13,3,13,28,45,0,9.210440366976517,0.0,3.044522437723423,9.210440366976517,0.0,5.25227342804663,0.2604166666666667
MicroEconomics: Mobile Classes,"I am building video classes in Economics that are intuitive, visually pleasing and theoretically sound.",microeconomics-mobile-classes,Academic,3.0,3.0,Wednesday,17,10,17,4,45,0,9.12394836241167,0.0,3.044522437723423,9.210440366976517,-0.08295416179619464,1.6094379124341003,0.3333333333333333
What All The Worlds Seeking,"The Law of True Life, Greatness, Power and Happiness",what-all-the-worlds-seeking,Academic,5.0,5.0,Wednesday,14,3,14,6,30,0,10.819798284210286,0.0,3.044522437723423,9.210440366976517,0.9591041823467986,7.323170717943469,0.4346965699208443
TRU'NATION,TRU'NATION is a venture design to support adolescent students (in middle school and high school) from urban communities achieve success,trunation-0,Academic,1.0,1.0,Monday,13,1,21,0,31,0,9.90353755128617,0.0,3.044522437723423,9.210440366976517,0.5265595051122477,5.19295685089021,0.2596685082872928
Sword-Site Advanced Documentation of Sword Measurements,To add advanced measurements of significant swords to my website Sword-Site.Com by travelling to the world's important collections.,sword-site-advanced-documentation-of-sword-measure,Academic,6.0,5.0,Sunday,3,8,3,2,30,0,10.233898750976307,0.0,3.044522437723423,9.210440366976517,0.7048081187767482,7.633369649679584,0.3313981615868408
The Nawawi Diaries,"40 Hadith. 40 Months. Ended: 40th B-day. I reflected on, researched, and implemented ~40 Hadith By Imam Nawawi",the-nawawi-diaries,Academic,3.0,3.0,Tuesday,18,7,18,12,60,0,10.778977123006351,0.0,3.044522437723423,9.210440366976517,0.9433363811322486,8.000014093678072,0.374916163648558
The Revelation: A Reading of the Vision and Letter of John t,"A serious, readable commentary, the first chapter is free at mmcdonald77.wordpress.com. The book publisher requires this amount, + fee.",the-revelation-a-reading-of-the-vision-and-letter,Academic,12.0,7.0,Tuesday,16,11,9,28,31,0,7.640603826393634,0.0,3.044522437723423,9.210440366976517,-0.9438422939983413,5.598421958998375,0.19557195571955718
Send me to Kapalua to play and chronical the course.,"I am a novice golfer, but I would like the opportunity to chronicle a round of golf at the world famous Plantation Course at Kapalua.",send-me-to-kapalua-to-play-and-chronical-the-cours,Places,10.0,5.0,Tuesday,21,7,21,1,30,0,6.2166061010848646,0.0,4.61512051684126,8.006700845440367,-1.026075553807055,3.970291913552122,0.2037037037037037
Shepard's Journey,The journey of an amazing mini-Schnauzer's from New Orleans Louisiana to Fairbanks Alaska with many adventures along the way,shepards-journey,Places,2.0,2.0,Wednesday,14,5,14,11,60,0,7.601402334583733,0.0,4.61512051684126,8.006700845440367,-0.34024974346174625,4.406719247264253,0.30120481927710846
Lomo South Devon Photo Project,A documentary photo project taking a lomography look at the beautiful coast of South Devon. Using a plastic camera and lomography film.,lomo-south-devon-photo-project,Places,5.0,5.0,Wednesday,13,5,13,1,25,0,6.046614764620802,0.0,4.61512051684126,8.006700845440367,-1.0852183492710756,7.633369649679584,0.3313981615868408
Exploring horizons of Central Asia,"Professional photo trip to Central Asia, Uzbekistan. Worldwide photographer Vladimir Tschelowski.",exploring-horizons-of-central-asia,Places,5.0,4.0,Sunday,16,3,16,2,30,0,8.1155554177107,0.0,4.61512051684126,8.006700845440367,0.10332756565788878,4.1588830833596715,0.15384615384615385
Photography & Videos of Europe,"Hey guys, I'm headed to Iceland and parts of Europe this July/August, I want to share some of my photos/videos with you.",photography-and-videos-of-europe,Places,5.0,4.0,Tuesday,15,5,15,4,45,0,5.259065700915732,0.0,4.61512051684126,8.006700845440367,-1.3211250129260002,4.787491742782046,0.1322314049586777
"#BackOnTheWall - 4 Photographers, 4 Styles, 1 Mission",We want to give images their due space in our fast moving society and bring them from screens and smart devices #BackOnTheWall.,backonthewall-4-photographers-4-styles-1-mission,Places,8.0,8.0,Wednesday,10,1,10,47,40,0,10.183055192850896,0.0,4.61512051684126,8.006700845440367,1.155734107504747,2.302585092994046,0.09090909090909091
Inspiring Fine Art World Photos Calendar,"Since 2006, I have been able to witness and photograph some of the most beautiful places on the planet and now it's time to share.",inspiring-fine-art-world-photos-calendar,Places,6.0,6.0,Friday,13,9,13,30,20,0,7.601402334583733,0.0,4.61512051684126,8.006700845440367,-0.34024974346174625,4.0943445622221,0.29508196721311475
Nationals Park Through the Lens (Baseball Photography),"Photographic series of Nationals Park in Washington, D.C. One of the many stops in capturing each Stadiums beauty.",nationals-park-through-the-lens-baseball-photograp,Places,7.0,6.0,Monday,12,2,12,0,30,0,6.206575926724928,0.0,4.61512051684126,8.006700845440367,-1.0296640300129336,5.049856007249537,0.28662420382165604
Skeleton Coast - a limited edition photo book.,"A trip to photograph the desolate, haunting shipwrecks of western Africa's ""Skeleton Coast"" and produce a high quality photo book.",skeleton-coast-a-limited-edition-photo-book,Places,8.0,7.0,Monday,8,5,8,25,20,0,9.099517947129009,0.0,4.61512051684126,8.006700845440367,0.7385110539257956,7.633369649679584,0.3313981615868408
Void Photography,"Void Photography, in a nutshell, is what I've always wanted my career to be. Involving travelling, meeting people, and taking photos.",void-photography,Places,2.0,2.0,Tuesday,11,10,11,1,45,0,8.612685172875459,0.0,4.61512051684126,8.006700845440367,0.4737368567192268,6.80128303447162,0.21666666666666667
"Earths Amazing Places, crowdsourced photography",Our planet is full of amazing places and this project gives you the chance to show the world the amazing places near you.,earths-amazing-places-crowdsourced-photography,Places,5.0,5.0,Wednesday,16,11,16,477,60,0,8.705764358648738,0.0,4.61512051684126,8.006700845440367,0.5300772246917094,7.633369649679584,0.3313981615868408
Places & People,This project will be a short book compiled of Stories and photos talking about new people and places from locations in the western U.S.,places-and-people,Places,3.0,3.0,Monday,14,3,14,52,50,0,8.160803920954665,0.0,4.61512051684126,8.006700845440367,0.14332348430012723,4.406719247264253,0.30120481927710846
Minnesota Unseen,"A Unique and unseen collection of Landscape, nature and wildlife photographs from the great state of minnesota.",minnesota-unseen,Places,2.0,2.0,Tuesday,0,5,0,0,14,0,8.853808274977197,0.0,4.61512051684126,8.006700845440367,0.6136208638660836,5.5134287461649825,0.30522088353413657
National Historic Landmarks of Chicago,I would like to photograph the historic sites around Chicago. I would like to include the Pullman factory and other ignored landmarks,national-historic-landmarks-of-chicago,Places,5.0,4.0,Wednesday,13,8,13,75,30,0,7.155396301896734,0.0,4.61512051684126,8.006700845440367,-0.615890549254909,6.19644412779452,0.3475609756097561
Help Make Photography Program a Reality to East NY Youth,I am raising funds to bring a photography/video club to the At Risk Youth of the East New York Community.,help-make-photography-program-a-reality-to-east-ny,Places,10.0,8.0,Thursday,20,12,20,1,30,0,9.90353755128617,0.0,4.61512051684126,8.006700845440367,1.0636193505592049,7.323170717943469,0.4346965699208443
Ours,"""OURS"" is an urban photography book, it shows our cities and streets, our environment, our culture and memories, our history and future",ours,Places,1.0,1.0,Thursday,20,7,20,0,30,0,8.019055813657394,0.0,4.61512051684126,8.006700845440367,0.012279268471412993,2.70805020110221,0.1875
Mystery Postcards,"Postcards with a twist: I send you a postcard with one of my photos on it, you figure out the location from the clues in the message.",mystery-postcards,Places,2.0,2.0,Wednesday,18,2,22,377,28,0,8.412054873292933,0.0,4.61512051684126,8.006700845440367,0.3402892481640704,5.579729825986222,0.20676691729323307
The Holy Land Experience,This book will contains some of the most breathtaking photos of the Holy land ever seen along with a detailed description you'll love,the-holy-land-experience,Places,4.0,4.0,Thursday,3,8,3,20,60,0,8.517393171418904,0.0,4.61512051684126,8.006700845440367,0.41256803977608525,5.19295685089021,0.2596685082872928
Beginning Photography,I just want to pick up on a photography project around my beautiful UCLA campus and I need funds to purchase a quality camera. :),beginning-photography,Places,2.0,2.0,Monday,11,7,11,1,30,0,6.111467339502679,0.0,4.61512051684126,8.006700845440367,-1.0630657661272358,8.000014093678072,0.374916163648558
A Photographic Exploration Of The UK,"A photographic guide to all UK's National Parks and areas of beauty. 

A modern complete digital photographic guide + walking routes",a-photographic-exploration-of-the-uk,Places,6.0,6.0,Sunday,7,3,7,0,30,0,9.474893515253452,0.0,4.61512051684126,8.006700845440367,0.903486170181262,7.633369649679584,0.3313981615868408
Valleytown in the Quiet Hours photography exhibition,A print series creating a moonlit portrait of a sleeping small town in the mountains of North Carolina. Everytown USA while it dreams.,valleytown-in-the-quiet-hours-photography-exhibiti,Places,7.0,5.0,Sunday,22,7,11,5,35,0,6.2166061010848646,0.0,4.61512051684126,8.006700845440367,-1.026075553807055,5.68697535633982,0.2939189189189189
Euro 2016: Behind The Beautiful Game,Let us take you behind the scenes of the greatest sporting event France will ever see with a Photobook showing the other si; Euro 2016,euro-2016-behind-the-beautiful-game,Places,6.0,6.0,Tuesday,17,4,17,0,45,0,10.033501956863832,0.0,4.61512051684126,8.006700845440367,1.107506323032382,3.871201010907891,0.04081632653061224
Wish you were here: Polaroids from New York,"Sending polaroid postcards (postaroids) and other memorabilia from one of the most sought after destinations in the world, New York.",wish-you-were-here-polaroids-from-new-york,Places,8.0,5.0,Wednesday,20,6,20,1,30,0,6.90875477931522,0.0,4.61512051684126,8.006700845440367,-0.7409588023629939,7.323170717943469,0.4346965699208443
European Castle Historical Project,I'd like to raise money so I can do first-hand research on some of Europe's interesting historical castles for a photo book.,european-castle-historical-project,Places,4.0,4.0,Thursday,15,1,15,17,60,0,8.517393171418904,0.0,4.61512051684126,8.006700845440367,0.41256803977608525,5.598421958998375,0.19557195571955718
Adventures of the Legoman,"Photos of the whereabouts of a Legoman at various spots, mainly in London.",adventures-of-the-legoman,Places,4.0,2.0,Thursday,10,12,10,9,30,0,6.665015418086784,0.0,4.61512051684126,8.006700845440367,-0.8508709382008517,7.633369649679584,0.3313981615868408
Epic Photographic Journey Across USA,This Epic Journey is to photograph scenic and historical sites within the United States. See Nearsighted Photographer on Facebook.,epic-photographic-journey-across-usa,Places,5.0,5.0,Saturday,11,6,7,0,32,0,7.0909098220799835,0.0,4.61512051684126,8.006700845440367,-0.6501306043728308,5.0369526024136295,0.2
We Shot LA,"Three photographers meet in Los Angeles for a weekend to document the city's neighborhoods, landmarks, cemeteries, markets and more.",we-shot-la,Places,3.0,3.0,Thursday,2,7,2,4,30,0,6.90875477931522,0.0,4.61512051684126,8.006700845440367,-0.7409588023629939,8.000014093678072,0.374916163648558
Leaps and Bounds,"Due to a series of unfortunate circumstances, I am a photographer without a camera. Eager to start clicking, just need your help.",photography-by-leaps-and-bounds,Places,3.0,2.0,Tuesday,23,8,23,1,30,0,6.90875477931522,0.0,4.61512051684126,8.006700845440367,-0.7409588023629939,8.000014093678072,0.374916163648558
Klint Arnold Photography in Japan - An Amazing Journey,"I will travel to Japan to photograph the people, places, and culture and share those images back for full and free public domain use.",klint-arnold-photography-in-japan-an-amazing-journ,Places,9.0,8.0,Tuesday,10,8,10,96,30,0,8.517393171418904,0.0,4.61512051684126,8.006700845440367,0.41256803977608525,3.4339872044851463,0.53125
POSTCARDS GOING SOMEWHERE,Three photographers are traveling to Paris/London and want to send you a self-printed postcard capturing the beauty of each place.,postcards-going-somewhere,Places,3.0,3.0,Tuesday,12,11,12,216,40,0,6.90875477931522,0.0,4.61512051684126,8.006700845440367,-0.7409588023629939,5.598421958998375,0.19557195571955718
Great Britain and its coasts - Photography by Train,"From Thurso to Penzance, I'll travel all the coasts of Great Britain by train and take photos at every location before making a collage",great-britain-and-its-coasts-photography-by-train,Places,9.0,6.0,Monday,15,8,15,10,60,0,6.36637870984667,0.0,4.61512051684126,8.006700845440367,-0.9709009307724794,7.633369649679584,0.3313981615868408
AVP: Aerial Video & Photography,To promote individual and business facilities through aerial videography and photography!,avp-aerial-video-and-photography,Places,5.0,5.0,Saturday,13,7,13,10,30,0,7.313886831633462,0.0,4.61512051684126,8.006700845440367,-0.5263922411251909,5.19295685089021,0.2596685082872928
Photographer Sharing the Deep Beauty of the Delaware River,"Raised along the Delaware River, I aspire to share and preserve its deep beauty while expanding my own capabilities as a photographer",photographer-sharing-the-deep-beauty-of-the-delawa,Places,9.0,6.0,Sunday,16,1,16,27,30,0,8.002694162283937,0.0,4.61512051684126,8.006700845440367,-0.003998677777691222,7.323170717943469,0.4346965699208443
Paranormal Investigation of an Abandoned Asylum,"I would like to do a paranormal investigation of Australia's Largest Abandoned Lunatic Asylum, Aradale Asylum.",paranormal-investigation-of-an-abandoned-asylum,Places,6.0,4.0,Wednesday,14,8,14,0,30,0,7.003432377827074,0.0,4.61512051684126,8.006700845440367,-0.694780080459604,5.19295685089021,0.16022099447513813
New Zealand,A travel journey and limited edition photo book documenting the beauty of New Zealand in winter.,new-zealand,Places,2.0,2.0,Wednesday,4,5,4,0,30,0,6.664356008741236,0.0,4.61512051684126,8.006700845440367,-0.8511524946011018,2.772588722239781,0.35294117647058826
Photographic Pilgrimage to Wales,My project is to fund airfare for my 10 day spiritual and photographic Pilgrimage to Wales.,photographic-pilgrimage-to-wales,Places,4.0,3.0,Monday,1,7,11,1,14,0,7.601402334583733,0.0,4.61512051684126,8.006700845440367,-0.34024974346174625,7.633369649679584,0.3313981615868408
My cool planet,"MyCoolPlanet.net is the first complete collection of unique experiences and photos from around the world, made free for all humanity.",my-cool-planet,Places,3.0,3.0,Thursday,15,8,16,73,34,0,11.33969322386819,0.0,4.61512051684126,8.006700845440367,1.4662583837965724,5.293304824724492,0.225
The Barcelona Project,Six young photographers aim to travel to Barcelona and capture the true beauty of the side of the city people rarely see.,the-barcelona-project,Places,3.0,3.0,Monday,17,2,17,0,25,0,8.592437904021365,0.0,4.61512051684126,8.006700845440367,0.461049320427149,3.8066624897703196,0.2826086956521739
Postcards from Lake Superior,10-pack of picture postcards taken at beautiful locations on and around the Big Lake. Send them. Display them. Love them.,postcards-from-lake-superior,Places,4.0,3.0,Monday,22,2,22,25,14,0,7.824445930877619,0.0,4.61512051684126,8.006700845440367,-0.16742355949049084,5.5134287461649825,0.30522088353413657
Wild Darlings Photography & Art Studio Project,Wild Darlings Photography & Art Studio is part of a dream started 3 years ago and it has grown into so much more than I imagined!,wild-darlings-photography-and-art-studio-project,Places,7.0,7.0,Thursday,23,1,15,3,40,0,8.517393171418904,0.0,4.61512051684126,8.006700845440367,0.41256803977608525,8.000014093678072,0.374916163648558
My Life in the Swan Valley,"A year long photography project exhibiting the people and places of the picturesque Swan Valley, Western Australia",my-life-in-the-swan-valley,Places,6.0,4.0,Saturday,1,7,1,0,45,0,8.85964806418516,0.0,4.61512051684126,8.006700845440367,0.6167774626799429,6.148468295917647,0.31982942430703626
Blog Project: Exploring the City of Los Angeles,"LA is more than just Hollywood. I wish to show more of the city, from known to undiscovered places, through blogging and photos.",blog-project-exploring-the-city-of-los-angeles,Places,8.0,6.0,Sunday,9,4,9,0,40,0,6.478509642208569,0.0,4.61512051684126,8.006700845440367,-0.9275041076142835,8.000014093678072,0.374916163648558
Super Bowl Selfie,Get a selfie that makes you look like you were @ the Super Bowl!,super-bowl-selfie,Places,3.0,3.0,Thursday,0,1,23,2,6,0,9.210440366976517,0.0,4.61512051684126,8.006700845440367,0.7901556998853545,5.726847747587197,0.16883116883116883
Photography through helping others,Travelling to peru to volunteer in a children's home and teaching the children the importance of photography,photography-through-helping-others,Places,4.0,3.0,Wednesday,15,10,15,0,30,0,6.1861936196727045,0.0,4.61512051684126,8.006700845440367,-1.0369167360693374,0.6931471805599453,0.3333333333333333
Discover America,My 7years in the US have so far been mostly just work and school. Now I wish to travel and discover all 50 states and need your support,discover-america,Places,2.0,2.0,Saturday,4,5,4,3,50,0,9.210440366976517,0.0,4.61512051684126,8.006700845440367,0.7901556998853545,5.568344503761097,0.23574144486692014
Two Cities; One Rivalry,Photographing the lifestyles of Barcelona and Madrid; one of the greatest fútbol rivalries of all time.,two-cities-one-rivalry,Places,4.0,4.0,Saturday,13,3,13,0,40,0,3.9318256327243257,0.0,4.61512051684126,8.006700845440367,-1.6243019359981647,3.8066624897703196,0.2826086956521739
Helicopter Air Tour Over Your Hometown or Even Your Home!,Unique helicopter tour/survey/photography business available year-round to serve your hometown.,helicopter-air-tour-over-your-hometown-or-even-you,Places,10.0,9.0,Friday,16,3,16,7,45,0,12.206077645517674,0.0,4.61512051684126,8.006700845440367,1.6485387722662799,8.000014093678072,0.374916163648558
My Martin's  view of Washington D.C. through Autism,Martin is my son and he wants to go to Washington D.C. and he will tell his story in pictures and movies if I get enough $ to take him.,my-martins-autistic-view-of-washington-dc,Places,8.0,6.0,Saturday,10,7,10,0,30,0,7.313886831633462,0.0,4.61512051684126,8.006700845440367,-0.5263922411251909,5.598421958998375,0.19557195571955718
Best Bathrooms In Los Angeles,Los Angeles is notorious for its lack of public restrooms. I will document the best and worst in Los Angeles so you know where to go.,best-bathrooms-in-los-angeles,Places,5.0,5.0,Thursday,18,9,18,305,30,0,8.517393171418904,0.0,4.61512051684126,8.006700845440367,0.41256803977608525,8.000014093678072,0.374916163648558
Guatemala: A Photo Project,"A photo project based in Guatemala, traveling from Guatemala City to Huehuetenango.",guatemala-a-photo-project,Places,4.0,4.0,Monday,23,1,23,0,30,0,5.303304908059076,0.0,4.61512051684126,8.006700845440367,-1.3092502196239717,5.998936561946683,0.297029702970297
Vintage VW Bug Road Trip Photographs,I need to fully restore my 1970 VW Bug to modern saftey and reliability levels so I can take her on the road and photograph our journey,vintage-vw-bug-road-trip-photographs,Places,6.0,6.0,Sunday,19,7,23,2,28,0,7.937731775260109,0.0,4.61512051684126,8.006700845440367,-0.06669469821016433,5.808142489980444,0.18862275449101795
"""from the road""- Australia","""from the road"" is a series of photographic diaries intent on capturing the inherent beauty of far off places.",from-the-road-australia,Places,4.0,3.0,Thursday,12,6,12,206,30,0,10.12667110305036,0.0,4.61512051684126,8.006700845440367,1.1378234689586433,5.298317366548036,0.208955223880597
The Tombstone Experience,"A Historic Photographic Documentation & Exhibition
Of A Old West Town",the-tombstone-experience,Places,3.0,3.0,Monday,7,10,7,2,35,0,9.89237604778141,0.0,4.61512051684126,8.006700845440367,1.0597589115169255,5.726847747587197,0.16883116883116883
The Living Wyoming - Let's Publish the Book!!,"18 months of research - over 4,500 miles & more than 15,000 images captured in S.E. Wyoming! Let's publish the book!!",the-living-wyoming-lets-publish-the-book,Places,8.0,7.0,Friday,0,9,0,11,31,0,9.638935897473202,0.0,4.61512051684126,8.006700845440367,0.9678333149591732,2.8903717578961645,0.15789473684210525
What if money were no object?,"""What if money was no object?"" is a project with the purpose to show exactly that.",what-if-money-was-no-object,Places,6.0,3.0,Tuesday,22,7,22,0,60,0,11.357322400943469,0.0,4.61512051684126,8.006700845440367,1.4703187212158666,7.633369649679584,0.3313981615868408
Drone Tourism,I'd like to visit every city in California and record a short 30 second clip of the cities most iconic points of interest.,drone-tourism,Places,2.0,2.0,Thursday,18,4,18,0,30,0,10.12667110305036,0.0,4.61512051684126,8.006700845440367,1.1378234689586433,8.000014093678072,0.374916163648558
National Park Landscape Photography,Spectacular imagines captured from National Parks throughout the USA to raise funds for medical surgery.,national-park-landscape-photography,Places,4.0,4.0,Monday,16,8,16,16,45,0,6.90875477931522,0.0,4.61512051684126,8.006700845440367,-0.7409588023629939,5.726847747587197,0.16883116883116883
Getting My Parents to Texas And out of my Hair!,This is their one year anniversary and they have yet to go on a honeymoon! Lets fund this trip!,getting-my-parents-to-texas-and-out-of-my-hair,Places,10.0,6.0,Saturday,10,8,10,3,30,0,2.3978952727983707,0.0,4.61512051684126,8.006700845440367,-1.8884029374812121,6.80128303447162,0.21666666666666667
Maranello - A Ferrari & Lamborghini story,A photo album shot on location in Maranello featuring Ferraris and Lamborghinis through history. Backers receive high resolution photos,maranello-a-ferrari-and-lamborghini-story,Places,7.0,7.0,Tuesday,11,7,11,7,7,0,7.625491089214222,0.0,4.61512051684126,8.006700845440367,-0.3229597500955943,2.70805020110221,0.0625
NYC in the eyes of a marathoner,"Returning to run the streets of NYC. I will capture the excitement, the people, the course, the pain, and I will create a photo book.",nyc-in-the-eyes-of-a-marathoner,Places,7.0,3.0,Friday,12,7,12,3,32,0,6.90875477931522,0.0,4.61512051684126,8.006700845440367,-0.7409588023629939,7.323170717943469,0.4346965699208443
Castles of Scotland,A Kiwi of Scottish heritage has a yearning to photograph the Castles of Scotland in 2015 and produce a coffee table book at the end.,castles-of-scotland,Places,3.0,2.0,Tuesday,14,11,14,1,30,0,9.656278306452498,0.0,4.61512051684126,8.006700845440367,0.9744001786101718,5.655991810819852,0.6062717770034843
Photos From The Soul,To capture the powerful essence and color of emotion from all around us.,photos-from-the-soul,Places,4.0,4.0,Thursday,15,8,15,27,30,0,7.977814347428254,0.0,4.61512051684126,8.006700845440367,-0.028477147572842556,3.4965075614664802,0.11764705882352941
Travels Off Track,"We combine photography, blog, poetry, landscape art and video. Our aim is to experience and help people tell their own stories.",travels-off-track,Places,3.0,3.0,Monday,13,11,13,4,60,0,9.198241320755958,0.0,4.61512051684126,8.006700845440367,0.7846047099352812,2.1972245773362196,0.3
Then and Now; A Photographic Journey Through Herefordshire.,I am traveling through Herefordshire putting my tripod where local pioneer photographer Alfred Watkins put his nearly a century ago.,then-and-now-a-photographic-journey-through-herefo,Places,8.0,7.0,Wednesday,15,3,15,23,30,0,6.393804965119494,0.0,4.61512051684126,8.006700845440367,-0.9604591389481195,7.633369649679584,0.3313981615868408
RR Kickstarter,I am in need of photography equipment to start a historical archive project.,rr-kickstarter,Places,2.0,2.0,Sunday,22,3,22,0,30,0,9.105090961257085,0.0,4.61512051684126,8.006700845440367,0.7411704392166568,4.343805421853684,0.20512820512820512
Ancient Greek Origins (AGO),"""AGO"" Enlightening and engaging presentations that focus on two of ancient Greece's greatest legacies: the Olympics and Democracy.",ancient-greek-origins-ago,Places,4.0,4.0,Friday,10,7,10,703,37,0,10.25769445336048,0.0,4.61512051684126,8.006700845440367,1.1789606751310053,3.970291913552122,0.37037037037037035
Numbers of New York,A limited edition calendar (numbered and signed) of select images from #numbersofnewyork that are emblematic of this amazing city.,numbers-of-new-york,Places,4.0,3.0,Wednesday,11,10,11,11,21,0,8.412054873292933,0.0,4.61512051684126,8.006700845440367,0.3402892481640704,7.323170717943469,0.4346965699208443
Freeway Photography,My goal is to show everyone through photography the work that is put in to build bridges and roads.,freeway-photography,Places,2.0,2.0,Monday,16,12,16,0,30,0,6.68586094706836,0.0,4.61512051684126,8.006700845440367,-0.8419291453232699,6.80128303447162,0.21666666666666667
Paintbox Studio,Paintbox Studio aims to be a photography and film hub in the heart of South Wales for creatives to come together and create.,paintbox-studio,Places,2.0,2.0,Wednesday,16,10,16,0,60,0,7.157803721797062,0.0,4.61512051684126,8.006700845440367,-0.6145893119405393,3.9512437185814275,0.2641509433962264
Place of Lines: London,Exploring architectural features of London. A vision of hidden gems and a different viewpoint.,place-of-lines-london,Places,4.0,3.0,Tuesday,16,11,16,118,30,0,7.771677891366924,0.0,4.61512051684126,8.006700845440367,-0.2110895562015035,7.633369649679584,0.3313981615868408
